
partimage 0.6.9-13
paru-bin 1.9.0-1
patch 2.7.6-8
pavucontrol 1:5.0-1
pbzip2 1.1.13-3
pciutils 3.7.0-1
pcre 8.45-1
pcre2 10.37-1
pcsclite 1.9.4-1
perl 5.34.0-2
perl-clone 0.45-3
perl-encode-locale 1.05-8
perl-error 0.17029-3
perl-file-listing 6.14-2
perl-html-parser 3.76-2
perl-html-tagset 3.20-11
perl-http-cookies 6.10-2
perl-http-daemon 6.12-1
perl-http-date 6.05-4
perl-http-message 6.33-1
perl-http-negotiate 6.01-9
perl-io-html 1.004-2
perl-libwww 6.57-1
perl-locale-gettext 1.07-11
perl-lwp-mediatypes 6.02-9
perl-mailtools 2.21-5
perl-net-http 6.21-2
perl-parse-yapp 1.21-4
perl-timedate 2.33-3
perl-try-tiny 0.30-6
perl-uri 5.09-2
perl-www-robotrules 6.02-9
perl-xml-parser 2.46-3
perl-xml-writer 0.625-7
php 8.0.12-1
php-apache 8.0.12-1
phpmyadmin 5.1.1-1
picom-ibhagwan-git 1577_Next.296.g60eb00c_2021.02.08-1
pigz 2.6-1
pinentry 1.1.1-1
pipewire 1:0.3.39-1
pixman 0.40.0-1
pixz 1.0.7-2
pkcs11-helper 1.27.0-2
pkgconf 1.8.0-1
playerctl 2.4.1-1
plymouth-git 0.9.5.r84.ge554475-4
polkit 0.120-2
poppler 21.11.0-1
poppler-data 0.4.11-1
poppler-glib 21.11.0-1
popt 1.18-1
portaudio 1:19.7.0-1
postgresql-libs 13.4-1
potrace 1.16-2
powerline-common 2.8.2-2
powerline-fonts 2.8.2-2
ppp 2.4.9-1
pptpclient 1.10.0-2
procps-ng 3.3.17-1
progsreiserfs 0.3.0.5-10
psmisc 23.4-1
pulseaudio 15.0-1
pulseaudio-alsa 1:1.2.5-2
pulseaudio-bluetooth 15.0-1
pulseaudio-zeroconf 15.0-1
python 3.9.7-2
python-appdirs 1.4.4-3
python-attrs 21.2.0-1
python-babel 2.9.1-1
python-beautifulsoup4 4.9.3-4
python-cachecontrol 0.12.6-5
python-cairo 1.20.1-1
python-cairocffi 1.2.0-3
python-cffi 1.14.6-2
python-chardet 4.0.0-2
python-click 8.0.3-1
python-colorama 0.4.4-3
python-configobj 5.0.6.r110.g3e2f4cc-1
